Apps                                    Avg Num     Num Machines
com.apple.geod                          2.81818     6
com.apple.WebKit.Networking             2.56923     10
Safari                                  2.5         11
LookupViewService                       2.5         3
rapportd                                2.4507      17
IMRemoteURLConnectionAgent              2.42857     7
blued                                   2.4         3
Python                                  2.16667     2
bluetoothd                              2.14483     17
nsurlsessiond                           2.03175     20
KernelEventAgent                        2.0         20
eapolclient                             2.0         20
syslogd                                 2.0         20
timed                                   2.0         17
captiveagent                            2.0         13
dbfseventsd                             2.0         6
Office365ServiceV2                      2.0         4
syncdefaultsd                           2.0         5
com.avast.helper                        2.0         1
com.avast.wifiguard                     2.0         1
socketfilterfw                          2.0         3
zotero                                  2.0         1
AppTech                                 2.0         2
Norton                                  2.0         2
com.symantec.SymLUHelper                2.0         2
p                                       2.0         1
Backup\x20and\x20Sync                   2.0         1
Pages                                   2.0         2
Spark                                   2.0         1
AppStats                                2.0         1
wifivelocityd                           2.0         3
Acrobat\x20Updater                      2.0         2
AppleIDAuthAgent                        2.0         1
DrCleaner                               2.0         1
Java\x20Updater                         2.0         1
SpotlightNetHelper                      2.0         1
com.apple.CommerceKit.Transacti         2.0         3
com.apple.Safari.SafeBrowsing.S         2.0         4
softwareupdated                         2.0         1
storeaccountd                           2.0         1
storeassetd                             2.0         1
storedownloadd                          2.0         1
ocspd                                   2.0         1
trustd                                  1.99206     7
Mail                                    1.92        6
AssetCacheLocatorService                1.85714     3
mapspushd                               1.8         3
cupsd                                   1.7125      10
netbiosd                                1.71111     20
FortniteClient-Mac-Shipping             1.66667     1
Notes                                   1.5         9
com.apple.iCloudHelper                  1.33333     2
CalendarAgent                           1.3125      13
bird                                    1.28571     4
avconferenced                           1.25        8
rtcreportingd                           1.21978     12
cloudd                                  1.13793     17
Spotlight                               1.12903     18
akd                                     1.10989     16
sudo                                    1.10656     20
com.apple.appkit.xpc.openAndSav         1.09388     18
Preview                                 1.08403     17
CrashReporterSupportHelper              1.06897     17
rpcsvchost                              1.0625      10
ARDAgent                                1.0         1
Calculator                              1.0         1
CarboniteDaemon                         1.0         1
CommCenter                              1.0         18
ContainerMetadataExtractor              1.0         9
Dock                                    1.0         20
Finder                                  1.0         20
FrontendAgent                           1.0         2
LocationMenu                            1.0         9
NotificationCenter                      1.0         18
OSDUIHelper                             1.0         13
SystemUIServer                          1.0         20
Terminal                                1.0         20
WindowServer                            1.0         16
appstoreagent                           1.0         12
